Org Unit,Parent Unit,Unit Code,Level,Function Type,Unit Head,Unit Status,Roles and Responsibilities
Deposits & Liabilities,Products & Cards Division,ORG-411,Department,Business (1st line),,Active,
Wealth & Privilege Division,Retail Banking Group,ORG-412,Division,Business (1st line),,Active,
Wealth Management,Wealth & Privilege Division,ORG-413,Department,Business (1st line),,Active,
Customer Experience Division,Retail Banking Group,ORG-414,Division,Business (1st line),,Active,
Customer Experience,Customer Experience Division,ORG-415,Department,Business (1st line),,Active,
Contact Centre,Customer Experience Division,ORG-416,Department,Business (1st line),,Active,
Corporate Coverage Division,Corporate Banking Group,ORG-417,Division,Business (1st line),,Active,
Large Corporate,Corporate Coverage Division,ORG-418,Department,Business (1st line),,Active,
Mid Corporate,Corporate Coverage Division,ORG-419,Department,Business (1st line),,Active,
SME Banking Division,Corporate Banking Group,ORG-420,Division,Business (1st line),,Active,
SME Coverage,SME Banking Division,ORG-421,Department,Business (1st line),,Active,
SME Products,SME Banking Division,ORG-422,Department,Business (1st line),,Active,
Transaction Banking Division,Corporate Banking Group,ORG-423,Division,Business (1st line),,Active,
Trade Finance,Transaction Banking Division,ORG-424,Department,Business (1st line),,Active,
Cash Management,Transaction Banking Division,ORG-425,Department,Business (1st line),,Active,
Treasury Division,Treasury & Investments Group,ORG-426,Division,Business (1st line),,Active,"Manages funding, liquidity and the interest-rate position of the banking book within Board-approved limits."
Money Market & FX,Treasury Division,ORG-427,Department,Business (1st line),,Active,
Fixed Income,Treasury Division,ORG-428,Department,Business (1st line),,Active,
Investments Division,Treasury & Investments Group,ORG-429,Division,Business (1st line),,Active,
Proprietary Investments,Investments Division,ORG-430,Department,Business (1st line),,Active,
Investment Advisory,Investments Division,ORG-431,Department,Business (1st line),,Active,
Credit Risk Division,Risk Group,ORG-432,Division,Control (2nd line),,Active,"Sets credit policy and underwriting standards, approves exposures above delegated limits, and owns the credit administration and collateral records."
Corporate Credit Risk,Credit Risk Division,ORG-433,Department,Control (2nd line),,Active,
Retail Credit Risk,Credit Risk Division,ORG-434,Department,Control (2nd line),,Active,
Credit Administration,Credit Risk Division,ORG-435,Department,Control (2nd line),,Active,
Market & Liquidity Risk Division,Risk Group,ORG-436,Division,Control (2nd line),,Active,
Market Risk,Market & Liquidity Risk Division,ORG-437,Department,Control (2nd line),,Active,
Liquidity Risk,Market & Liquidity Risk Division,ORG-438,Department,Control (2nd line),,Active,
Operational Risk Division,Risk Group,ORG-439,Division,Control (2nd line),,Active,
Operational Risk,Operational Risk Division,ORG-440,Department,Control (2nd line),,Active,
Business Continuity,Operational Risk Division,ORG-441,Department,Control (2nd line),,Active,
Risk Analytics Division,Risk Group,ORG-442,Division,Control (2nd line),,Active,
Risk Modelling,Risk Analytics Division,ORG-443,Department,Control (2nd line),,Active,
IFRS 9 & Provisioning,Risk Analytics Division,ORG-444,Department,Control (2nd line),,Active,
Financial Crime Division,Compliance Group,ORG-445,Division,Control (2nd line),,Active,"Owns AML, sanctions screening and fraud prevention, including suspicious transaction reporting to the SAFIU."
AML & Sanctions,Financial Crime Division,ORG-446,Department,Control (2nd line),,Active,
Fraud Prevention,Financial Crime Division,ORG-447,Unit,Control (2nd line),,Active,
Regulatory Compliance Division,Compliance Group,ORG-448,Division,Control (2nd line),,Active,
Regulatory Affairs,Regulatory Compliance Division,ORG-449,Department,Control (2nd line),,Active,
Compliance Monitoring,Regulatory Compliance Division,ORG-450,Department,Control (2nd line),,Active,
Business Audit Division,Internal Audit Group,ORG-451,Division,Assurance (3rd line),,Active,
Audit - Retail & Corporate,Business Audit Division,ORG-452,Department,Assurance (3rd line),,Active,
Audit - Treasury,Business Audit Division,ORG-453,Department,Assurance (3rd line),,Active,
Technology Audit Division,Internal Audit Group,ORG-454,Division,Assurance (3rd line),,Active,
Audit - Technology,Technology Audit Division,ORG-455,Department,Assurance (3rd line),,Active,
Audit - Data,Technology Audit Division,ORG-456,Department,Assurance (3rd line),,Active,
Financial Control Division,Finance Group,ORG-457,Division,Control (2nd line),,Active,
Financial Control,Financial Control Division,ORG-458,Department,Control (2nd line),,Active,
Regulatory Reporting,Financial Control Division,ORG-459,Department,Control (2nd line),,Active,
Planning & Performance Division,Finance Group,ORG-460,Division,Control (2nd line),,Active,
Financial Planning,Planning & Performance Division,ORG-461,Department,Control (2nd line),,Active,
Tax & Zakat Division,Finance Group,ORG-462,Division,Control (2nd line),,Active,
Tax & Zakat,Tax & Zakat Division,ORG-463,Department,Control (2nd line),,Active,
Core Banking Division,Technology Group,ORG-464,Division,Enabling,,Active,
Core Banking Platform,Core Banking Division,ORG-465,Department,Enabling,,Active,
Payments Systems,Core Banking Division,ORG-466,Department,Enabling,,Active,
Digital Channels Division,Technology Group,ORG-467,Division,Enabling,,Active,
Mobile & Internet Banking,Digital Channels Division,ORG-468,Department,Enabling,,Active,
Infrastructure Division,Technology Group,ORG-469,Division,Enabling,,Active,
Infrastructure & Cloud,Infrastructure Division,ORG-470,Department,Enabling,,Active,
Service Desk,Infrastructure Division,ORG-471,Department,Enabling,,Active,
Cybersecurity Division,Technology Group,ORG-472,Division,Enabling,,Active,"Runs security operations, identity and access management, and the response to cyber incidents under the SAMA Cyber Security Framework."
Security Operations,Cybersecurity Division,ORG-473,Department,Enabling,,Active,
Identity & Access,Cybersecurity Division,ORG-474,Department,Enabling,,Active,
Data & Analytics Division,Technology Group,ORG-475,Division,Enabling,,Active,
Data Engineering,Data & Analytics Division,ORG-476,Department,Enabling,,Active,
Business Intelligence,Data & Analytics Division,ORG-477,Department,Enabling,,Active,
Payments Operations Division,Operations Group,ORG-478,Division,Business (1st line),,Active,
Local Payments,Payments Operations Division,ORG-479,Department,Business (1st line),,Active,
International Payments,Payments Operations Division,ORG-480,Department,Business (1st line),,Active,
Trade & Corporate Operations Division,Operations Group,ORG-481,Division,Business (1st line),,Active,
Trade Operations,Trade & Corporate Operations Division,ORG-482,Department,Business (1st line),,Active,
Corporate Service Delivery,Trade & Corporate Operations Division,ORG-483,Department,Business (1st line),,Active,
Branch Operations Division,Operations Group,ORG-484,Division,Business (1st line),,Active,
Branch Support,Branch Operations Division,ORG-485,Department,Business (1st line),,Active,
Cash Operations,Branch Operations Division,ORG-486,Department,Business (1st line),,Active,
Talent Acquisition Division,Human Resources Group,ORG-487,Division,Enabling,,Active,
Talent Acquisition,Talent Acquisition Division,ORG-488,Department,Enabling,,Active,
Saudization & Graduate Programmes,Talent Acquisition Division,ORG-489,Department,Enabling,,Active,
Talent & Performance Division,Human Resources Group,ORG-490,Division,Enabling,,Active,
Performance Management,Talent & Performance Division,ORG-491,Department,Enabling,,Active,
Succession & Talent,Talent & Performance Division,ORG-492,Department,Enabling,,Active,
Learning & Development Division,Human Resources Group,ORG-493,Division,Enabling,,Active,"Owns mandatory training and its evidence, the leadership academy, and the professional certification pathway."
Learning & Development,Learning & Development Division,ORG-494,Department,Enabling,,Active,
HR Operations Division,Human Resources Group,ORG-495,Division,Enabling,,Active,
HR Services,HR Operations Division,ORG-496,Department,Enabling,,Active,
Payroll & Benefits,Talent & Performance Division,ORG-497,Department,Enabling,,Active,
Corporate Legal Division,Legal Group,ORG-498,Division,Control (2nd line),,Active,
Corporate Legal,Corporate Legal Division,ORG-499,Department,Control (2nd line),,Active,
Contracts,Corporate Legal Division,ORG-500,Department,Control (2nd line),,Active,
Litigation & Recovery Division,Legal Group,ORG-501,Division,Control (2nd line),,Active,
Litigation,Litigation & Recovery Division,ORG-502,Department,Control (2nd line),,Active,
Legal Recoveries,Litigation & Recovery Division,ORG-503,Department,Control (2nd line),,Active,
Data Governance Office,Data & Analytics Division,ORG-310,Department,Control (2nd line),TBA,Approved,"Approved in the 2026 structure to own data quality, lineage and the data catalogue. Recruitment has not started; no positions have been created yet."
Climate Risk Unit,Risk Group,ORG-230,Unit,Control (2nd line),TBA,Approved,"Established to meet SAMA climate-related financial disclosure expectations. Mandate approved, headcount pending Board approval."
Shariah Audit,Internal Audit Group,ORG-221,Division,Assurance (3rd line),,Approved,Independent assurance over Shariah compliance of products and processes.
